id	name	total_occurrences	area_occurrences	bright_ti4_high	bright_ti4_avg
ALB	Albania	6516	0.226659	367.000000	328.628591
ARM	Armenia	1801	0.060552	367.000000	333.395558
AUT	Austria	2904	0.034630	367.000000	319.296040
AZE	Azerbaijan	7034	0.081224	367.000000	332.713620
BLR	Belarus	4144	0.019961	367.000000	325.846670
BEL	Belgium	4285	0.140446	367.000000	317.306021
BIH	Bosnia and Herzegovina	8182	0.160027	367.000000	329.336324
BGR	Bulgaria	9228	0.083140	367.000000	332.085327
HRV	Croatia	5018	0.088667	367.000000	331.703806
CYP	Cyprus	296	0.031997	367.000000	313.637500
CZE	Czech Republic	1403	0.017790	367.000000	314.274555
DNK	Denmark	771	0.017329	367.000000	318.661219
EST	Estonia	220	0.004852	354.600000	307.190000
FIN	Finland	960	0.002839	367.000000	315.933542
FRA	France	16119	0.025037	367.000000	320.314945
GEO	Georgia	4178	0.059943	367.000000	329.196936
DEU	Germany	17346	0.048565	367.000000	314.300773
GRC	Greece	5528	0.041898	367.000000	330.010655
HUN	Hungary	1678	0.018037	367.000000	322.733373
ISL	Iceland	11	0.000107	367.000000	323.500000
IRL	Ireland	861	0.012252	367.000000	320.194541
ITA	Italy	39235	0.130211	367.000000	328.100851
KAZ	Kazakhstan	261708	0.096043	367.000000	334.118434
OSA	Kosovo	1064	0.097543	367.000000	329.243327
LVA	Latvia	133	0.002059	367.000000	320.084211
LTU	Lithuania	92	0.001409	367.000000	325.596739
LUX	Luxembourg	656	0.253674	367.000000	312.415701
MKD	Macedonia	3851	0.149769	367.000000	327.002493
173	Malta	18	0.056962	367.000000	328.322222
MDA	Moldova	2807	0.082934	367.000000	330.844817
MNE	Montenegro	5826	0.421807	367.000000	326.451545
NLD	Netherlands	2979	0.072309	367.000000	315.486741
NOR	Norway	772	0.002004	367.000000	316.846114
POL	Poland	5254	0.016803	367.000000	312.398211
PRT	Portugal	19189	0.209560	367.000000	333.532274
ROU	Romania	17682	0.074172	367.000000	331.471615
RUS	Russia	914839	0.053505	367.000000	328.443203
SRB	Serbia	7379	0.095271	367.000000	331.057704
SVK	Slovakia	2906	0.059263	367.000000	312.428045
SVN	Slovenia	274	0.013516	367.000000	308.553650
ESP	Spain	19728	0.038989	367.000000	325.370843
SWE	Sweden	1348	0.002996	367.000000	311.998294
CHE	Switzerland	626	0.015161	356.500000	315.484824
TUR	Turkey	41764	0.053300	367.000000	327.941646
UKR	Ukraine	119058	0.197237	367.000000	330.406451
GBR	United Kingdom	6350	0.025937	367.000000	315.464409
